dataset,time,Calculated,totalCalls,Percent Pruned,dtwCallsPerEpoch,timePerEpoch,n,slength,adjusted Mutual information,adjusted Rand index,Homogeneity,Completeness,Fowlkes Mallows,Rand index
ACSF1,7.255997180938721,10122,20000,49.39,"[2000, 992, 925, 901, 987, 883, 822, 888, 807, 917]","[4.892399072647095, 0.2840571403503418, 0.27091312408447266, 0.23660898208618164, 0.24757909774780273, 0.26077914237976074, 0.24300122261047363, 0.260148286819458, 0.23809003829956055, 0.26945996284484863]",200,1460,0.24546518792161917,0.06335549151456932,0.23581002314939148,0.47995810687081336,0.2886590625313503,0.5383417085427136
Adiac,2.0503010749816895,41630,288970,85.59366024154757,"[28897, 1785, 1242, 1493, 1110, 1302, 1177, 1589, 1224, 1811]","[0.269989013671875, 0.20694303512573242, 0.18997812271118164, 0.18375897407531738, 0.19866490364074707, 0.19174671173095703, 0.18274521827697754, 0.2200298309326172, 0.20023798942565918, 0.18834614753723145]",781,176,0.1286490604562166,0.009739645081877177,0.08605313029741142,0.6530915952910124,0.1660911352638883,0.2652352342493188
ArrowHead,0.19298195838928223,3720,6330,41.232227488151665,"[633, 451, 293, 321, 377, 311, 307, 345, 346, 336]","[0.03633308410644531, 0.03649115562438965, 0.015722036361694336, 0.015108108520507812, 0.014413118362426758, 0.014010190963745117, 0.013668060302734375, 0.015973806381225586, 0.015005826950073242, 0.01452016830444336]",211,251,0.27768942248748396,0.26182741163153156,0.24321522619820324,0.3464513586606507,0.5703961982375966,0.6298352516361995
BME,0.12286615371704102,3061,5400,43.31481481481482,"[540, 361, 333, 232, 257, 279, 278, 283, 247, 251]","[0.015691041946411133, 0.011963367462158203, 0.011614084243774414, 0.011204004287719727, 0.012190818786621094, 0.01362299919128418, 0.011327981948852539, 0.012681961059570312, 0.01054525375366211, 0.010359048843383789]",180,128,0.2618286657551219,0.20710046259928427,0.26781252198825584,0.271125336369768,0.47198575270075843,0.6471756672873992
Beef,0.12232661247253418,868,3000,71.06666666666666,"[300, 71, 64, 62, 62, 62, 65, 62, 60, 60]","[0.01806497573852539, 0.012003898620605469, 0.012230873107910156, 0.011281967163085938, 0.010641336441040039, 0.01107025146484375, 0.011157035827636719, 0.011174201965332031, 0.010865926742553711, 0.011122941970825195]",60,470,0.1909340763195193,0.05703273296335473,0.16488466657731668,0.5518425257591667,0.4257348252660524,0.3768361581920904
BeetleFly,0.08319520950317383,780,800,2.500000000000002,"[80, 78, 78, 78, 78, 78, 78, 79, 79, 74]","[0.011466026306152344, 0.009640932083129883, 0.007236957550048828, 0.007773876190185547, 0.007647037506103516, 0.007302999496459961, 0.00701904296875, 0.006747245788574219, 0.008280038833618164, 0.008627891540527344]",40,512,-0.017275669916255655,-0.023682652457075192,0.0018086520489062616,0.0018119209735073384,0.47569029243499866,0.48846153846153845
BirdChicken,0.07754778861999512,648,800,18.999999999999993,"[80, 76, 57, 76, 75, 53, 56, 57, 58, 60]","[0.008922815322875977, 0.007551908493041992, 0.007110118865966797, 0.008301734924316406, 0.008134126663208008, 0.007209062576293945, 0.0072591304779052734, 0.007009029388427734, 0.006819009780883789, 0.00786590576171875]",40,512,-0.017624006378012043,-0.022068965517241378,0.0019246780098852987,0.0020165647954566972,0.4919692959668713,0.48846153846153845
CBF,0.4458498954772949,22811,27900,18.240143369175634,"[2790, 2015, 2584, 2313, 2711, 2558, 2283, 1954, 1890, 1713]","[0.04909396171569824, 0.041921138763427734, 0.04337477684020996, 0.041768789291381836, 0.040824174880981445, 0.0416719913482666, 0.04095816612243652, 0.04156017303466797, 0.05907011032104492, 0.04374289512634277]",930,128,0.35168961032240287,0.3466192464962566,0.3484816144405105,0.3575940538737205,0.5698559651459153,0.7059921062073915
Car,0.2223200798034668,1954,4800,59.291666666666664,"[480, 384, 135, 165, 129, 130, 129, 144, 129, 129]","[0.032994985580444336, 0.02584385871887207, 0.019212007522583008, 0.020261049270629883, 0.02072286605834961, 0.02073502540588379, 0.01958608627319336, 0.019653797149658203, 0.020258188247680664, 0.020246028900146484]",120,577,1.2813706015261114e-15,0.0,0.0,1.0,0.4936572484949417,0.24369747899159663
Chinatown,0.12692618370056152,4853,7260,33.154269972451786,"[726, 413, 417, 460, 502, 592, 435, 408, 442, 458]","[0.013531923294067383, 0.012789011001586914, 0.012202978134155273, 0.012446165084838867, 0.012188196182250977, 0.01198720932006836, 0.011761188507080078, 0.013190031051635742, 0.013041019439697266, 0.012331008911132812]",363,24,0.06911648513622955,0.129276314370718,0.07461719405122179,0.0680280372789477,0.618379961268321,0.5700348538118503
ChlorineConcentration,1.6441950798034668,119542,129210,7.482393003637489,"[12921, 12789, 12078, 11846, 11397, 11214, 11448, 12101, 11902, 11846]","[0.1805708408355713, 0.19152426719665527, 0.15600275993347168, 0.16919398307800293, 0.15438604354858398, 0.16419696807861328, 0.1457059383392334, 0.14897394180297852, 0.17603611946105957, 0.15461206436157227]",4307,166,-1.2651729779793434e-05,-0.001035793847807228,0.00044584314568389807,0.0004136223372848155,0.3645027619707683,0.5336855900875782
CinCECGtorso,13.29738712310791,50232,56800,11.563380281690138,"[5680, 5425, 4902, 5115, 5111, 5104, 4877, 4974, 4743, 4301]","[1.4284496307373047, 1.4127552509307861, 1.3029601573944092, 1.3408708572387695, 1.3245439529418945, 1.3503808975219727, 1.2831220626831055, 1.3220970630645752, 1.319120168685913, 1.2025110721588135]",1420,1639,0.3331406764415136,0.2560284635440023,0.33352384858670403,0.33583407496695644,0.4433501117942149,0.7196815849288827
Coffee,0.12381815910339355,1080,1120,3.57142857142857,"[112, 110, 111, 109, 96, 111, 106, 112, 101, 112]","[0.010822057723999023, 0.008450984954833984, 0.007095813751220703, 0.007866859436035156, 0.007664203643798828, 0.006736040115356445, 0.006810665130615234, 0.006453037261962891, 0.05269002914428711, 0.00787210464477539]",56,286,0.5616722438105427,0.6687585404119641,0.5667048094916078,0.5682765167931648,0.8319067025409765,0.8344155844155844
Computers,0.7816970348358154,9646,10000,3.5399999999999987,"[1000, 996, 998, 969, 926, 988, 928, 964, 940, 937]","[0.09189677238464355, 0.0718231201171875, 0.06606507301330566, 0.07107186317443848, 0.08485007286071777, 0.08530616760253906, 0.08137297630310059, 0.0803678035736084, 0.07858419418334961, 0.06859111785888672]",500,720,-0.0013496470309898106,-0.0018402781827214392,0.00010510260132556562,0.00010599617352098852,0.5009946822058807,0.4990701402805611
